Rank,Company,Sector,Industry,Location,Employees,Revenue,Profits,Change in Rank
796,Euronet Worldwide,Business Services,Financial Data Services,"Leawood, KS",10000,3688.0,279.7,43.0
797,Hawaiian Electric Industries,Energy,Utilities: Gas and Electric,"Honolulu, HI",3652,3682.2,199.2,-13.0
798,DraftKings,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Boston, MA",4400,3665.4,-802.1,0.0
799,IDEXX Laboratories,Health Care,Medical Products and Equipment,"Westbrook, ME",11000,3661.0,845.0,36.0
800,MYR Group,Engineering & Construction,Engineering & Construction,"Thornton, CO",9000,3643.9,91.0,93.0
801,Deckers Outdoor,Apparel,Apparel,"Goleta, CA",4200,3627.3,516.8,72.0
802,DexCom,Health Care,Medical Products and Equipment,"San Diego, CA",9550,3622.3,541.5,103.0
803,MKS Instruments,Technology,Semiconductors and Other Electronic Components,"Andover, MA",10100,3622.0,-1841.0,11.0
804,VICI Properties,Financials,Real estate,"New York, NY",28,3612.0,2513.5,160.0
805,Cooper Cos.,Health Care,Medical Products and Equipment,"San Ramon, CA",15000,3593.2,294.2,45.0
806,Frontier Group Holdings,Transportation,Airlines,"Denver, CO",7214,3589.0,-11.0,40.0
807,Qorvo,Technology,Semiconductors and Other Electronic Components,"Greensboro, NC",8500,3569.4,103.2,-131.0
808,Five Below,Retailing,Specialty Retailers: Other,"Philadelphia, PA",14500,3559.4,301.1,72.0
809,TreeHouse Foods,"Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, IL",7400,3552.9,53.1,-132.0
810,Scotts Miracle-Gro,Chemicals,Chemicals,"Marysville, OH",6375,3551.3,-380.1,-54.0
811,Atlassian,Technology,Computer Software,"San Francisco, CA",10726,3534.6,-486.8,105.0
812,Entegris,Technology,Semiconductors and Other Electronic Components,"Billerica, MA",8000,3523.9,180.7,43.0
813,Atkore,Industrials,"Electronics, Electrical Equip.","Harvey, IL",5208,3518.8,689.9,-54.0
814,H.B. Fuller,Chemicals,Chemicals,"St. Paul, MN",7200,3510.9,144.9,-33.0
815,Granite Construction,Engineering & Construction,Engineering & Construction,"Watsonville, CA",4100,3509.1,43.6,38.0
816,Winnebago Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,"Eden Prairie, MN",6250,3490.7,215.9,-162.0
817,FTI Consulting,Business Services,Diversified Outsourcing Services,"Washington, Unknown",7990,3489.2,274.9,71.0
818,AptarGroup,Materials,"Packaging, Containers","Crystal Lake, IL",13800,3487.5,284.5,29.0
819,Columbia Sportswear,Apparel,Apparel,"Portland, OR",10070,3487.2,251.4,8.0
820,Roku,Media,Entertainment,"San Jose, CA",3150,3484.6,-709.6,55.0
821,Civitas Resources,Energy,"Mining, Crude-Oil Production","Denver, CO",516,3479.2,784.3,-46.0
822,H&R Block,Financials,Diversified Financials,"Kansas City, MO",39200,3472.2,553.7,6.0
823,Alpha Metallurgical Resources,Energy,"Mining, Crude-Oil Production","Bristol, TN",4160,3471.4,722.0,-91.0
824,Patrick Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,"Elkhart, IN",10000,3468.0,142.9,-165.0
825,Murphy Oil,Energy,"Mining, Crude-Oil Production","Houston, TX",725,3460.1,661.6,-73.0
826,Synovus Financial,Financials,Commercial Banks,"Columbus, GA",4798,3454.4,543.7,163.0
827,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",Food Services,"Lebanon, TN",77000,3442.8,99.1,31.0
828,Cheesecake Factory,"Hotels, Restaurants & Leisure",Food Services,"Calabasas Hills, CA",47900,3439.5,101.4,24.0
829,CNX Resources,Energy,"Mining, Crude-Oil Production","Canonsburg, PA",470,3434.9,1720.7,0.0
830,Chefs' Warehouse,Wholesalers,Wholesalers: Food and Grocery,"Ridgefield, CT",4873,3433.8,34.6,131.0
831,Donaldson,Industrials,Industrial Machinery,"Minneapolis, MN",13000,3430.8,358.8,20.0
832,Mueller Industries,Industrials,Industrial Machinery,"Collierville, TN",4509,3420.3,602.9,-88.0
833,MRC Global,Wholesalers,Wholesalers: Diversified,"Houston, TX",2800,3412.0,114.0,4.0
834,Chart Industries,Industrials,Industrial Machinery,"Ball Ground, GA",11637,3411.3,47.3,0.0
835,Alight,Business Services,Diversified Outsourcing Services,"Lincolnshire, IL",18000,3410.0,-345.0,39.0
836,Vishay Intertechnology,Technology,Semiconductors and Other Electronic Components,"Malvern, PA",23500,3402.0,323.8,-14.0
837,Range Resources,Energy,"Mining, Crude-Oil Production","Fort Worth, TX",548,3374.4,871.1,-111.0
838,Valley National Bancorp,Financials,Commercial Banks,"New York, NY",3749,3364.6,498.5,0.0
839,Match Group,Technology,Internet Services and Retailing,"Dallas, TX",2610,3364.5,651.5,30.0
840,Gen Digital,Technology,Computer Software,"Tempe, AZ",3700,3338.0,1349.0,79.0
841,Wintrust Financial,Financials,Commercial Banks,"Rosemont, IL",5521,3327.2,622.6,0.0
842,Moog,Aerospace & Defense,Aerospace & Defense,"East Aurora, NY",13500,3319.1,171.0,44.0
843,First Solar,Energy,Energy,"Tempe, AZ",6700,3318.6,830.8,115.0
844,Central Garden & Pet,Household Products,Household and Personal Products,"Walnut Creek, CA",6500,3310.1,125.6,0.0
845,Green Plains,Energy,Energy,"Omaha, NE",921,3295.7,-93.4,-52.0
846,Werner Enterprises,Transportation,"Trucking, Truck Leasing","Omaha, NE",13809,3283.5,112.4,8.0
847,AppLovin,Technology,Computer Software,"Palo Alto, CA",1731,3283.1,356.7,67.0
848,ITT,Industrials,Industrial Machinery,"Stamford, CT",10600,3283.0,410.5,47.0
849,Herc Holdings,Business Services,Equipment Leasing,"Bonita Springs, FL",7200,3282.0,347.0,86.0
850,Gray Television,Media,Entertainment,"Atlanta, GA",9649,3281.0,-76.0,-58.0
851,IDEX,Industrials,Industrial Machinery,"Northbrook, IL",8800,3273.9,596.1,20.0
852,Boston Properties,Financials,Real estate,"Boston, MA",836,3273.6,190.2,26.0
853,Pitney Bowes,Technology,Computer Software,"Stamford, CT",10500,3266.3,-385.6,-38.0
854,Steelcase,Household Products,"Home Equipment, Furnishings","Grand Rapids, MI",12250,3232.6,35.3,75.0
855,Sun Communities,Financials,Real estate,"Southfield, MI",6757,3224.6,-213.3,44.0
856,AdaptHealth,Health Care,Wholesalers: Health Care,"Plymouth Meeting, PA",10700,3200.2,-678.9,42.0
857,Vertex Energy,Energy,Petroleum Refining,"Houston, TX",481,3184.6,-71.5,54.0
858,Genesis Energy,Energy,Pipelines,"Houston, TX",2137,3177.0,117.7,64.0
859,Jackson Financial,Financials,"Insurance: Life, Health (stock)","Lansing, MI",3428,3159.0,934.0,-577.0
860,FirstCash Holdings,Retailing,Specialty Retailers: Other,"Fort Worth, TX",19000,3151.8,219.3,78.0
861,Cal-Maine Foods,"Food, Beverages & Tobacco",Food Production,"Ridgeland, MS",2896,3146.2,758.0,0.0
862,Arch Resources,Energy,"Mining, Crude-Oil Production","St. Louis, MO",3404,3145.8,464.0,-75.0
863,Avient,Chemicals,Chemicals,"Avon Lake, OH",9300,3142.8,75.7,-194.0
864,Cano Health,Health Care,Health Care: Medical Facilities,"Miami, FL",2700,3137.8,-594.4,70.0
865,BlueLinx Holdings,Wholesalers,Wholesalers: Diversified,"Marietta, GA",1990,3136.4,48.5,-166.0
866,Sinclair,Media,Entertainment,"Hunt Valley, MD",7300,3134.0,-291.0,-112.0
867,BOK Financial,Financials,Commercial Banks,"Tulsa, OK",4966,3132.4,530.7,0.0
868,Permian Resources,Energy,"Mining, Crude-Oil Production","Midland, TX",461,3120.9,476.3,0.0
869,PACS Group,Health Care,Health Care: Medical Facilities,"Farmington, UT",32433,3111.5,112.9,0.0
870,Coinbase Global,Financials,Securities,"Wilmington, DE",3416,3108.4,94.9,-2.0
871,Western Midstream Partners,Energy,Pipelines,"The Woodlands, TX",1377,3106.5,1022.2,-11.0
872,Federated Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),"Owatonna, MN",2922,3098.7,422.8,40.0
873,G-III Apparel Group,Apparel,Apparel,"New York, NY",4050,3098.2,176.2,-8.0
874,Vontier,Technology,"Electronics, Electrical Equip.","Raleigh, NC",8000,3095.2,376.9,-4.0
875,Matson,Transportation,Shipping,"Honolulu, HI",4315,3094.6,297.1,-163.0
876,Kirby,Transportation,Shipping,"Houston, TX",5450,3091.6,222.9,48.0
877,Kaiser Aluminum,Materials,Metals,"Franklin, TN",4000,3087.0,47.2,-47.0
878,Vista Outdoor,Business Services,"Toys, Sporting Goods","Anoka, MN",7000,3079.8,-9.7,7.0
879,Designer Brands,Retailing,Specialty Retailers: Apparel,"Columbus, OH",14000,3075.0,29.1,-30.0
880,Rollins,Business Services,Diversified Outsourcing Services,"Atlanta, GA",19031,3073.3,435.0,66.0
881,Advanced Drainage Systems,Materials,"Building Materials, Glass","Hilliard, OH",5870,3071.1,507.1,49.0
882,Cinemark Holdings,Media,Entertainment,"Plano, TX",17888,3066.7,188.2,111.0
883,CrowdStrike,Technology,Computer Software,"Austin, TX",7925,3055.6,89.3,0.0
884,Pinterest,Technology,Internet Services and Retailing,"San Francisco, CA",4014,3055.1,-35.6,33.0
885,Instacart,Retailing,Internet Services and Retailing,"San Francisco, CA",3380,3042.0,-1622.0,0.0
886,Hillenbrand,Industrials,Industrial Machinery,"Batesville, IN",10400,3039.7,569.7,16.0
887,Allison Transmission Holdings,Motor Vehicles & Parts,Motor Vehicles & Parts,"Indianapolis, IN",3700,3035.0,673.0,44.0
888,RH,Retailing,Specialty Retailers: Other,"Corte Madera, CA",5645,3029.1,127.6,-86.0
889,Brookdale Senior Living,Health Care,Health Care: Medical Facilities,"Brentwood, TN",30600,3015.8,-189.0,24.0
890,QuidelOrtho,Health Care,Medical Products and Equipment,"San Diego, CA",7100,2997.8,-10.1,-31.0
891,Trinity Industries,Transportation,Transportation Equipment,"Dallas, TX",9480,2983.3,106.0,0.0
892,Teleflex,Health Care,Medical Products and Equipment,"Wayne, PA",14500,2974.5,356.3,29.0
893,HEICO,Aerospace & Defense,Aerospace & Defense,"Hollywood, FL",9600,2968.1,403.6,0.0
894,Bruker,Technology,"Scientific,Photographic and  Control Equipment","Billerica, MA",9707,2964.5,427.2,86.0
895,Carlyle Group,Financials,Securities,"Washington, Unknown",2200,2963.9,-608.4,-195.0
896,Energizer Holdings,Household Products,Household and Personal Products,"St. Louis, MO",5080,2959.7,140.5,-12.0
897,Quad/Graphics,Media,"Publishing, Printing","Sussex, WI",13150,2957.7,-55.4,-31.0
898,Rackspace Technology,Technology,Internet Services and Retailing,"San Antonio, TX",5800,2957.1,-837.8,-21.0
899,Waters,Technology,"Scientific,Photographic and  Control Equipment","Milford, MA",7900,2956.4,642.2,-2.0
900,West Pharmaceutical Services,Health Care,Medical Products and Equipment,"Exton, PA",10600,2949.8,593.4,8.0
901,Carter's,Apparel,Apparel,"Atlanta, GA",15230,2945.6,232.5,-34.0
902,NeueHealth,Health Care,Health Care: Insurance and Managed Care,"Doral, FL",1252,2938.1,-1151.5,-355.0
903,SkyWest,Transportation,Airlines,"St. George, UT",12296,2935.4,34.3,-9.0
904,Acadia Healthcare,Health Care,Health Care: Medical Facilities,"Franklin, TN",20250,2928.7,-21.7,58.0
905,Revvity,Health Care,Medical Products and Equipment,"Waltham, MA",11500,2926.9,693.1,-223.0
906,Portland General Electric,Energy,Utilities: Gas and Electric,"Portland, OR",2842,2923.0,228.0,46.0
907,Woodward,Aerospace & Defense,Aerospace & Defense,"Fort Collins, CO",8800,2914.6,232.4,0.0
908,TEGNA,Media,Entertainment,"Tysons, VA",6200,2910.9,476.7,-52.0
909,Sabre,Retailing,Internet Services and Retailing,"Southlake, TX",6232,2907.7,-527.6,70.0
910,Light & Wonder,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas, NV",6500,2902.0,163.0,0.0
